status,year,age_0_14,age_15_24,age_25_44,age_45_64,age_65p,age_15_64,total_pop,dep_youth,dep_old,dep_total,pct_working_age,pct_seniors
Estimate,1971,618.6,405.2,568,441.1,207.6,1414.3,2240.5,0.4373895213179665,0.1467863960970091,0.5841759174149757,0.6312430261102432,0.09265788886409283
Estimate,1972,620,420,594.1,454.1,213.9,1468.2,2302.1,0.42228579212641326,0.14568859828361258,0.5679743904100258,0.6377655184396855,0.09291516441509927
Estimate,1973,619.9,437.4,621.6,467,221.3,1526.1,2367.3,0.40619880741760045,0.1450101566083481,0.5512089640259485,0.6446584716765935,0.09348202593672116
Estimate,1974,621,458.3,652.4,481.7,229.3,1592.3,2442.6,0.3900018840670728,0.14400552659674687,0.5340074106638196,0.6518873331695734,0.09387537869483338
Estimate,1975,616.8,473.7,679.5,492.6,237,1645.8,2499.6,0.3747721472839956,0.14400291651476485,0.5187750637987605,0.6584253480556889,0.09481517042726836
Estimate,1976,605.7,482.5,699.7,500.8,245.2,1683,2533.9,0.3598930481283423,0.14569221628045156,0.5055852644087939,0.6641935356564979,0.09676782824894431
Estimate,1977,597.4,488.2,722.8,507.8,254.2,1718.7,2570.3,0.34758829347762843,0.14790248443591086,0.49549077791353924,0.6686768081546901,0.0988989612107536
Estimate,1978,589.8,497,749.3,515,264.1,1761.3,2615.2,0.33486629194345086,0.1499460625674218,0.4848123545108726,0.6734857754665036,0.10098654022636894
Estimate,1979,584.9,504.4,778.9,521.4,275.6,1804.7,2665.2,0.32409818806449825,0.15271236216545686,0.4768105502299551,0.6771349242083147,0.10340687378057933
Estimate,1980,590.7,514.6,820.6,530.6,289.4,1865.8,2745.9,0.31659341837281596,0.15510772858827312,0.4717011469610891,0.6794857787974798,0.10539349575731088
Estimate,1981,598.7,521.8,862.4,542.4,301.3,1926.5,2826.6,0.31077082792629124,0.15639761225019466,0.46716844017648584,0.6815608858699498,0.10659449515318759
Estimate,1982,604,514.9,894.3,552.1,311.2,1961.3,2876.5,0.30795900678121657,0.1586702697190639,0.46662927650028047,0.6818355640535373,0.10818703285242481
Estimate,1983,606,501,918.4,562,320,1981.4,2907.5,0.3058443524780458,0.16150196830523872,0.46734632078328453,0.6814789337919175,0.11006018916595013
Estimate,1984,608.8,492.8,944,571.7,329.9,2008.5,2947.2,0.30311177495643515,0.16425192930047297,0.4673637042569081,0.6814942996742671,0.11193675352877307
Estimate,1985,607.7,482.1,964.7,577,343.7,2023.8,2975.1,0.30027670718450444,0.16982903448957407,0.47010574167407854,0.6802460421498437,0.11552552855366206
Estimate,1986,604.8,472.9,983.4,584.5,358.1,2040.7,3003.6,0.2963688930269025,0.1754790023031313,0.4718478953300338,0.679418031695299,0.1192235983486483
Estimate,1987,611.8,462.8,1007.3,593.5,373.3,2063.6,3048.7,0.296472184531886,0.18089746074820703,0.477369645280093,0.6768786695968774,0.12244563256469972
Estimate,1988,624.3,455.7,1038.5,609.3,386.9,2103.5,3114.8,0.29679106251485615,0.18393154266698358,0.48072260518183973,0.6753242583793502,0.1242134326441505
Estimate,1989,640.8,452.4,1075.5,626.4,401.7,2154.3,3196.7,0.29745160841108476,0.18646428074084387,0.4839158891519287,0.6739137235273878,0.12566083773891826
Estimate,1990,659.5,456.3,1115.5,645.1,415.7,2216.9,3292.1,0.2974874825206369,0.187514096260544,0.48500157878118094,0.6733999574739529,0.12627198444761703
Estimate,1991,674.8,457,1147.3,666.7,428.1,2270.9,3373.8,0.29715090933110216,0.18851556651547846,0.4856664758465807,0.6730985831999525,0.12688956073270496
Estimate,1992,695.3,466.2,1169.2,698.2,439.8,2333.6,3468.8,0.29795166266712375,0.1884641755227974,0.4864158381899211,0.672739852398524,0.12678736162361623
Estimate,1993,713.6,476,1196.6,731.4,450.2,2403.9,3567.8,0.2968509505387079,0.1872790049502891,0.484129955488997,0.6737765569818936,0.1261842031504008
Estimate,1994,730.2,487.2,1229.1,767.3,462.3,2483.6,3676.1,0.2940086970526655,0.18614108552101788,0.4801497825736834,0.6756073012159626,0.12575827643426457
Estimate,1995,742.6,496.2,1260.6,803.3,474.7,2560.1,3777.4,0.290066794265849,0.18542244443576422,0.4754892387016132,0.6777413035421189,0.12566844919786097
Estimate,1996,750.8,512.9,1287.7,836.5,486.5,2637.1,3874.3,0.28470668537408517,0.18448295476091162,0.46918964013499675,0.680664894303487,0.12557107090313088
Estimate,1997,756.5,521.7,1301.3,870.5,498.5,2693.6,3948.6,0.2808509058509059,0.18506831006831007,0.4659192159192159,0.6821658309274173,0.12624727751608164
Estimate,1998,752,524.4,1294.6,902.7,509.5,2721.7,3983.1,0.27629790204651505,0.18719917698497263,0.4634970790314877,0.6833119931711481,0.12791544274560016
Estimate,1999,743.1,531.2,1283.3,934.8,519,2749.3,4011.4,0.27028698214090857,0.18877532462808713,0.4590623067689957,0.6853716906815576,0.12938126339931197
Estimate,2000,732.9,538.6,1271.3,967.9,528.6,2777.8,4039.2,0.26384188926488583,0.19029447764417884,0.45413636690906467,0.6877104377104378,0.13086749851455734
Estimate,2001,724,548.7,1262,1002.6,539.7,2813.2,4076.9,0.25735816863358457,0.19184558509881988,0.4492037537324044,0.6900340945326106,0.13237999460374306
Estimate,2002,714.4,554,1243.9,1038.6,549.6,2836.5,4100.5,0.2518596862330337,0.19375991538868326,0.44561960162171693,0.6917449091574198,0.13403243506889403
Estimate,2003,706.5,558.2,1224.5,1074.7,560.6,2857.3,4124.4,0.24726140062296573,0.1961992090435026,0.4434606096664683,0.6927795558141792,0.135922800892251
Estimate,2004,699,563.3,1211.9,1109.5,571.9,2884.7,4155.6,0.24231289215516347,0.1982528512496967,0.4405657434048602,0.6941717200885551,0.1376215227644624
Estimate,2005,692.3,569.2,1205.5,1145.1,584,2919.8,4196.1,0.23710528118364269,0.20001369956846357,0.43711898075210626,0.6958366101856486,0.13917685469841043
Estimate,2006,687.6,573.2,1201.5,1180,599.5,2954.7,4241.8,0.23271398111483402,0.20289707922970185,0.43561106034453584,0.696567494931397,0.14133151020793058
Estimate,2007,686.5,574.5,1203.7,1212.3,613.8,2990.6,4291,0.2295525981408413,0.20524309503109742,0.4347956931719387,0.69694709857842,0.14304357958517827
