year_end,bucket,contribution
2020,Natural increase,3939
2020,Net NPR,603
2020,Net international (PR),37654
2020,Net interprovincial,16999
2021,Natural increase,115
2021,Net NPR,-8845
2021,Net international (PR),28870
2021,Net interprovincial,25376
2022,Natural increase,-2714
2022,Net NPR,35336
2022,Net international (PR),73489
2022,Net interprovincial,26069
2023,Natural increase,-4298
2023,Net NPR,104750
2023,Net international (PR),52611
2023,Net interprovincial,3388
2024,Natural increase,-1769
2024,Net NPR,112905
2024,Net international (PR),48809
2024,Net interprovincial,-4127
2025,Natural increase,469
2025,Net NPR,-12612
2025,Net international (PR),40957
2025,Net interprovincial,-2392
