industry,emp_2024_01,emp_latest,abs_change_thousands,pct_change
"Forestry, fishing, mining, quarrying, oil and gas",53.1,41,-12.100000000000001,-0.22787193973634653
"Information, culture and recreation",149.1,129.8,-19.299999999999983,-0.1294433266264251
Transportation and warehousing,157.5,145.9,-11.599999999999994,-0.07365079365079362
Other services (except public administration),123.2,116.4,-6.799999999999997,-0.05519480519480517
Wholesale and retail trade,435.2,415.9,-19.30000000000001,-0.044347426470588265
Services-producing sector,2402.9,2381.2,-21.700000000000273,-0.00903075450497327
Agriculture,21.9,21.9,0,0
"Total employed, all industries",2903.7,2908.2,4.5,0.0015497468746771361
Educational services,221.7,222.8,1.1000000000000227,0.004961659900766905
"Business, building and other support services",90.1,90.7,0.6000000000000085,0.006659267480577232
Public administration,153.4,156.5,3.0999999999999943,0.020208604954367628
Manufacturing,175.1,179,3.9000000000000057,0.022272986864648806
Health care and social assistance,407.3,418.5,11.199999999999989,0.0274981586054505
"Professional, scientific and technical services",297,310.6,13.600000000000023,0.04579124579124587
Goods-producing sector,500.8,527.1,26.30000000000001,0.05251597444089459
Accommodation and food services,185.9,196.4,10.5,0.056481979558902634
Construction,233.6,267.5,33.900000000000006,0.14511986301369867
