date,industry,employment_thousands
2019-01-01,"Total employed, all industries",2669.3
2019-01-01,Goods-producing sector,508.1
2019-01-01,Agriculture,24.6
2019-01-01,"Forestry, fishing, mining, quarrying, oil and gas",49.4
2019-01-01,Construction,247.6
2019-01-01,Manufacturing,172.4
2019-01-01,Services-producing sector,2161.2
2019-01-01,Wholesale and retail trade,407.3
2019-01-01,Transportation and warehousing,149.2
2019-01-01,"Professional, scientific and technical services",238.5
2019-01-01,"Business, building and other support services",120.8
2019-01-01,Educational services,165.8
2019-01-01,Health care and social assistance,324.9
2019-01-01,"Information, culture and recreation",136.1
2019-01-01,Accommodation and food services,213.3
2019-01-01,Other services (except public administration),123.5
2019-01-01,Public administration,113.2
2019-02-01,"Total employed, all industries",2677.3
2019-02-01,Goods-producing sector,510.5
2019-02-01,Agriculture,25.4
2019-02-01,"Forestry, fishing, mining, quarrying, oil and gas",50.4
2019-02-01,Construction,247.4
2019-02-01,Manufacturing,173.6
2019-02-01,Services-producing sector,2166.8
2019-02-01,Wholesale and retail trade,407.4
2019-02-01,Transportation and warehousing,147.9
2019-02-01,"Professional, scientific and technical services",237.2
2019-02-01,"Business, building and other support services",125.2
2019-02-01,Educational services,171.6
2019-02-01,Health care and social assistance,323.2
2019-02-01,"Information, culture and recreation",140.4
2019-02-01,Accommodation and food services,209.9
2019-02-01,Other services (except public administration),123.1
2019-02-01,Public administration,114.2
2019-03-01,"Total employed, all industries",2671.5
2019-03-01,Goods-producing sector,502.2
2019-03-01,Agriculture,22.2
2019-03-01,"Forestry, fishing, mining, quarrying, oil and gas",49.1
2019-03-01,Construction,246.9
2019-03-01,Manufacturing,170.6
2019-03-01,Services-producing sector,2169.3
2019-03-01,Wholesale and retail trade,413.9
2019-03-01,Transportation and warehousing,149.7
2019-03-01,"Professional, scientific and technical services",244.6
2019-03-01,"Business, building and other support services",119.7
2019-03-01,Educational services,173.9
2019-03-01,Health care and social assistance,320.6
2019-03-01,"Information, culture and recreation",138.6
2019-03-01,Accommodation and food services,198.9
2019-03-01,Other services (except public administration),123
2019-03-01,Public administration,119.3
2019-04-01,"Total employed, all industries",2678.7
2019-04-01,Goods-producing sector,515.3
2019-04-01,Agriculture,23.6
2019-04-01,"Forestry, fishing, mining, quarrying, oil and gas",49.6
2019-04-01,Construction,256.2
2019-04-01,Manufacturing,174
2019-04-01,Services-producing sector,2163.4
2019-04-01,Wholesale and retail trade,412.6
2019-04-01,Transportation and warehousing,146.9
2019-04-01,"Professional, scientific and technical services",239.5
2019-04-01,"Business, building and other support services",119
2019-04-01,Educational services,170.8
2019-04-01,Health care and social assistance,322.6
2019-04-01,"Information, culture and recreation",136.4
2019-04-01,Accommodation and food services,204.9
2019-04-01,Other services (except public administration),123.8
2019-04-01,Public administration,120.8
2019-05-01,"Total employed, all industries",2698.5
2019-05-01,Goods-producing sector,528.5
2019-05-01,Agriculture,25.5
2019-05-01,"Forestry, fishing, mining, quarrying, oil and gas",46.6
2019-05-01,Construction,256.7
2019-05-01,Manufacturing,186.2
2019-05-01,Services-producing sector,2170
2019-05-01,Wholesale and retail trade,425.6
2019-05-01,Transportation and warehousing,148.6
2019-05-01,"Professional, scientific and technical services",238.4
2019-05-01,"Business, building and other support services",116.9
2019-05-01,Educational services,173.7
2019-05-01,Health care and social assistance,327.2
2019-05-01,"Information, culture and recreation",136.9
2019-05-01,Accommodation and food services,192.6
2019-05-01,Other services (except public administration),125.1
2019-05-01,Public administration,121.1
2019-06-01,"Total employed, all industries",2695.3
2019-06-01,Goods-producing sector,514
2019-06-01,Agriculture,24.3
2019-06-01,"Forestry, fishing, mining, quarrying, oil and gas",44.2
2019-06-01,Construction,254.6
2019-06-01,Manufacturing,178.1
2019-06-01,Services-producing sector,2181.2
2019-06-01,Wholesale and retail trade,432.4
2019-06-01,Transportation and warehousing,149.5
2019-06-01,"Professional, scientific and technical services",234.8
2019-06-01,"Business, building and other support services",112.7
2019-06-01,Educational services,176
2019-06-01,Health care and social assistance,337.4
2019-06-01,"Information, culture and recreation",138.9
2019-06-01,Accommodation and food services,191.9
2019-06-01,Other services (except public administration),118
2019-06-01,Public administration,120.5
2019-07-01,"Total employed, all industries",2685.4
2019-07-01,Goods-producing sector,506.8
2019-07-01,Agriculture,23.5
2019-07-01,"Forestry, fishing, mining, quarrying, oil and gas",43.4
2019-07-01,Construction,253.9
2019-07-01,Manufacturing,174
2019-07-01,Services-producing sector,2178.5
2019-07-01,Wholesale and retail trade,430.5
2019-07-01,Transportation and warehousing,144.4
2019-07-01,"Professional, scientific and technical services",231
2019-07-01,"Business, building and other support services",114.3
2019-07-01,Educational services,180.5
2019-07-01,Health care and social assistance,338.1
2019-07-01,"Information, culture and recreation",133.6
2019-07-01,Accommodation and food services,197.4
2019-07-01,Other services (except public administration),120.4
2019-07-01,Public administration,121.2
2019-08-01,"Total employed, all industries",2684.2
2019-08-01,Goods-producing sector,507.6
2019-08-01,Agriculture,24.4
2019-08-01,"Forestry, fishing, mining, quarrying, oil and gas",45
2019-08-01,Construction,254
2019-08-01,Manufacturing,170.4
2019-08-01,Services-producing sector,2176.6
2019-08-01,Wholesale and retail trade,427.7
2019-08-01,Transportation and warehousing,142
2019-08-01,"Professional, scientific and technical services",244.2
2019-08-01,"Business, building and other support services",113.3
2019-08-01,Educational services,180.7
