year_end,bucket,contribution
2020,Natural increase,74126
2020,Net NPR,75265
2020,Net international (PR),252484
2021,Natural increase,55266
2021,Net NPR,-51719
2021,Net international (PR),200588
2022,Natural increase,39570
2022,Net NPR,224715
2022,Net international (PR),445983
2023,Natural increase,20227
2023,Net NPR,671525
2023,Net international (PR),407204
2024,Natural increase,31274
2024,Net NPR,781075
2024,Net international (PR),400892
2025,Natural increase,34229
2025,Net NPR,-14954
2025,Net international (PR),370049
