iso3c,country,year,pop_total,pct_working_age,pct_seniors
CAN,Canada,2000,30685730,68.2568366113173,12.536309389257701
CAN,Canada,2001,31020855,68.4701227930397,12.6230053671836
CAN,Canada,2002,31359199,68.6736734090251,12.7070290689936
CAN,Canada,2003,31642461,68.8586776013757,12.8045900297652
CAN,Canada,2004,31938807,69.0493454832701,12.9167916368003
CAN,Canada,2005,32242732,69.2461072880222,13.0466474392723
CAN,Canada,2006,32571193,69.3935234197471,13.2121185240005
CAN,Canada,2007,32888886,69.4575467796062,13.4074353506841
CAN,Canada,2008,33247298,69.4541838737891,13.6209286442365
CAN,Canada,2009,33630069,69.4115083969769,13.8518496981519
CAN,Canada,2010,34005902,69.3276453126297,14.1094023482861
CAN,Canada,2011,34339221,69.148336286437,14.4296808152056
CAN,Canada,2012,34713395,68.8517946416003,14.8206990584527
CAN,Canada,2013,35080992,68.4998731704546,15.2286887935879
CAN,Canada,2014,35434066,68.1358280352841,15.623244184631501
CAN,Canada,2015,35704498,67.7571212622664,16.0101997556659
CAN,Canada,2016,36110803,67.3902081027321,16.3881021891164
CAN,Canada,2017,36545075,67.0699290855306,16.7582136912329
CAN,Canada,2018,37072620,66.7853309042324,17.1296813071885
CAN,Canada,2019,37618495,66.4846890068848,17.5318595224519
CAN,Canada,2020,38028638,66.1382867429556,17.9854084818723
CAN,Canada,2021,38239864,65.7746528539238,18.4822592321013
CAN,Canada,2022,38935934,65.5113452142292,18.9407471303288
CAN,Canada,2023,40083484,65.3373373940366,19.3581192161771
CAN,Canada,2024,41288599,65.0890886641808,19.7995907648324
CAN,Canada,2025,NA,NA,NA
CHN,China,2000,1262645000,68.43842782702,7.01747574076251
CHN,China,2001,1271850000,68.9801155359775,7.21351682273765
CHN,China,2002,1280400000,69.67006217559,7.40162875834336
CHN,China,2003,1288400000,70.3774446816481,7.57962663220469
CHN,China,2004,1296075000,71.0763188122428,7.73725110121901
CHN,China,2005,1303720000,71.815903350805,7.88962840533466
CHN,China,2006,1311020000,72.353957155972,8.05386346846253
CHN,China,2007,1317885000,72.6173623452205,8.21258625792709
CHN,China,2008,1324655000,72.7779121303034,8.35535290441098
CHN,China,2009,1331260000,72.856169869084,8.49817888668038
CHN,China,2010,1337705000,72.8644787380355,8.66147143784386
CHN,China,2011,1345035000,72.7988185445213,8.85916872860311
CHN,China,2012,1354190000,72.6134379386083,9.08920186808881
CHN,China,2013,1363240000,72.3383307205597,9.3562686156071
